name,price,status,shipping,free_returns,items_sold
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Orange (Pack of 12)",2999,Brand New,0,False,
12 Pack CELSIUS Essential Energy Drink 12 Fl Oz Raspberry Acai Green Tea EX 1/23,3039,Brand New,0,True,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Grape Rush (Pack of 12)",3441,Brand New,0,True,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Orange (Pack of 12) Free ",3036,Brand New,0,False,
"CELSIUS Fitness Energy Drink 12 Fl Oz, Sparkling Watermelon Pack of 12",5000,Brand New,0,False,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Strawberry Guava (Pack of 24)",6535,Brand New,0,False,
Cherry Lime Energy Drink Zero Sugar 16 oz Can 12 Pack,3420,Brand New,0,True,
CELSIUS Essential Energy Drink 12 Fl Oz Sparkling Orange Pack of 12,3042,Brand New,0,False,
CELSIUS BCAA +Energy Sparkling Post-Workout Recovery & Hydration Drink Tropic...,2547,Brand New,0,True,
CELSIUS HEAT Strawberry Dragonfruit Performance Energy Drink Zero Sugar 16 Fl...,3360,Brand New,0,False,
CELSIUS Essential Energy Drink 12 Fl Oz Sparkling Cola (Pack of 12) USA,3047,Brand New,0,False,
CELSIUS Essential Energy Drink 12 Fl Oz Sparkling Grape Rush Pack of 12,3911,Brand New,0,True,
CELSIUS HEAT Strawberry Dragonfruit Performance Energy Drink Zero Sugar 16 Fl...,6113,Brand New,0,True,
"CELSIUS Essential Energy Drink 12 Fl Oz, Arctic Vibe Sparkling Frozen Berry Edit",3499,Brand New,0,False,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Grape Rush (Pack of 12)",3299,Brand New,0,False,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Grape Rush Pack of 12",3132,Brand New,0,False,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Wild Berry (Pack of 12)",3538,Brand New,0,False,
"CELSIUS Essential Energy Drink, Raspberry Acai Green Tea ,12 Fl Oz(Pack of 24)",6527,Brand New,0,False,
CELSIUS HEAT Inferno Punch Performance Energy Drink Zero Sugar 16oz Can 12 Pk,3999,Brand New,999,False,
"CELSIUS Essential Energy Drink, 12 Fl Oz, Official Variety Pack (Pack of 13)",2777,Brand New,0,False,
"CELSIUS Essential Energy Drink, 12 Fl Oz, Official Variety Pack (Pack of 12)",2899,Brand New,0,False,
"CELSIUS Essential Energy Drink 12 Fl Oz, Peach Mango Green Tea (Pack of 12)",3479,Brand New,0,False,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Watermelon (Pack of 12)",3299,Brand New,0,False,
CELSIUS Essential Energy Drink Sparkling Orange 12 fl oz (12 Pack),3295,Brand New,0,True,
CELSIUS HEAT Blueberry Pomegranate Performance Energy Drink Zero Sugar 16oz New,3658,Brand New,0,False,
"Celsius Heat performance Energy Powder Packets, Strawberry Mango",1599,Brand New,600,False,
CELSIUS Essential Energy Drink 12 Fl Oz Sparkling Strawberry Guava Pack of 12,3478,Brand New,0,False,
CELSIUS Essential Energy Drink 12 Fl Oz Sparkling Orange Pack of 12,3097,Brand New,0,True,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Fuji Apple Pear (Pack of 12)",3165,Brand New,0,False,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Grape Rush Pack of 12",2977,Brand New,0,False,
"CELSIUS Essential Energy Drink 12 Fl Oz, Peach Mango Green Tea (Pack of 4)",2099,Brand New,0,False,
"CELSIUS Essential Energy Drink, 12 Fl Oz, Official Variety Pack (Pack of 12)",3499,Brand New,0,False,
"CELSIUS Essential Energy Drink 12 Fl Oz, Peach Mango Green Tea (Pack of 12)",3199,Brand New,0,False,
CELSIUS Essential Energy Drink 12 Fl Oz Sparkling Fuji Apple Pear Pack of 12,3249,Brand New,0,False,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Strawberry Guava (Pack of 12)",3470,Brand New,0,True,
CELSIUS Essential Energy Drink 12 Fl Oz Sparkling Mango Passionfruit Pack of 12,3333,Brand New,0,False,
